	CG	CHG	CHH	bincount	bincount	bincount
up_1	0.03573074435654523	0.03573074435654523	0.03573074435654523	7686.0	7686.0	7686.0
up_2	0.03396620966213457	0.03396620966213457	0.03396620966213457	7660.0	7660.0	7660.0
up_3	0.032570349606162084	0.032570349606162084	0.032570349606162084	7632.0	7632.0	7632.0
up_4	0.028975313043288698	0.028975313043288698	0.028975313043288698	7671.0	7671.0	7671.0
up_5	0.02489489031147238	0.02489489031147238	0.02489489031147238	7614.0	7614.0	7614.0
up_6	0.021441332988156404	0.021441332988156404	0.021441332988156404	7633.0	7633.0	7633.0
up_7	0.01869670366146938	0.01869670366146938	0.01869670366146938	7658.0	7658.0	7658.0
up_8	0.01572503702887895	0.01572503702887895	0.01572503702887895	7707.0	7707.0	7707.0
up_9	0.012344860469149472	0.012344860469149472	0.012344860469149472	7686.0	7686.0	7686.0
up_10	0.009970337049237707	0.009970337049237707	0.009970337049237707	7671.0	7671.0	7671.0
up_11	0.008768726343099432	0.008768726343099432	0.008768726343099432	7640.0	7640.0	7640.0
up_12	0.007449364561013633	0.007449364561013633	0.007449364561013633	7738.0	7738.0	7738.0
up_13	0.006744487165541553	0.006744487165541553	0.006744487165541553	7698.0	7698.0	7698.0
up_14	0.006980545811131891	0.006980545811131891	0.006980545811131891	7715.0	7715.0	7715.0
up_15	0.006451778272160629	0.006451778272160629	0.006451778272160629	7798.0	7798.0	7798.0
up_16	0.00617904485298415	0.00617904485298415	0.00617904485298415	7991.0	7991.0	7991.0
up_17	0.005821725156081247	0.005821725156081247	0.005821725156081247	8015.0	8015.0	8015.0
up_18	0.005655926720971087	0.005655926720971087	0.005655926720971087	8135.0	8135.0	8135.0
up_19	0.005575994875754813	0.005575994875754813	0.005575994875754813	8297.0	8297.0	8297.0
up_20	0.005396038818649255	0.005396038818649255	0.005396038818649255	8564.0	8564.0	8564.0
e1_1	0.005414051644562336	0.005414051644562336	0.005414051644562336	6916.0	6916.0	6916.0
e1_2	0.0054090053288166195	0.0054090053288166195	0.0054090053288166195	6639.0	6639.0	6639.0
e1_3	0.005562726254446333	0.005562726254446333	0.005562726254446333	6761.0	6761.0	6761.0
e1_4	0.0056189810828101115	0.0056189810828101115	0.0056189810828101115	6877.0	6877.0	6877.0
e1_5	0.0059773509596476645	0.0059773509596476645	0.0059773509596476645	6847.0	6847.0	6847.0
e1_6	0.005553049048501032	0.005553049048501032	0.005553049048501032	6929.0	6929.0	6929.0
e1_7	0.006049230192626167	0.006049230192626167	0.006049230192626167	6845.0	6845.0	6845.0
e1_8	0.006067592202687617	0.006067592202687617	0.006067592202687617	6958.0	6958.0	6958.0
e1_9	0.006764218785029534	0.006764218785029534	0.006764218785029534	7082.0	7082.0	7082.0
e1_10	0.00679846220678324	0.00679846220678324	0.00679846220678324	6932.0	6932.0	6932.0
e1_11	0.007213890111610511	0.007213890111610511	0.007213890111610511	6984.0	6984.0	6984.0
e1_12	0.007415630094329786	0.007415630094329786	0.007415630094329786	6952.0	6952.0	6952.0
e1_13	0.007359497956347564	0.007359497956347564	0.007359497956347564	7031.0	7031.0	7031.0
e1_14	0.008235082452791522	0.008235082452791522	0.008235082452791522	7016.0	7016.0	7016.0
e1_15	0.008392005841732301	0.008392005841732301	0.008392005841732301	7058.0	7058.0	7058.0
e1_16	0.008757068558181738	0.008757068558181738	0.008757068558181738	7074.0	7074.0	7074.0
e1_17	0.009174976669019556	0.009174976669019556	0.009174976669019556	7209.0	7209.0	7209.0
e1_18	0.009903347285486096	0.009903347285486096	0.009903347285486096	7176.0	7176.0	7176.0
e1_19	0.010764195176250355	0.010764195176250355	0.010764195176250355	7179.0	7179.0	7179.0
e1_20	0.010364496871528944	0.010364496871528944	0.010364496871528944	7709.0	7709.0	7709.0
i1_1	0.007513264584594177	0.007513264584594177	0.007513264584594177	6306.0	6306.0	6306.0
i1_2	0.007643688498237598	0.007643688498237598	0.007643688498237598	5836.0	5836.0	5836.0
i1_3	0.0069546144819729785	0.0069546144819729785	0.0069546144819729785	5737.0	5737.0	5737.0
i1_4	0.007442281038881158	0.007442281038881158	0.007442281038881158	5655.0	5655.0	5655.0
i1_5	0.008898571726848294	0.008898571726848294	0.008898571726848294	5526.0	5526.0	5526.0
i1_6	0.008930484840750484	0.008930484840750484	0.008930484840750484	5399.0	5399.0	5399.0
i1_7	0.008055368216561885	0.008055368216561885	0.008055368216561885	5424.0	5424.0	5424.0
i1_8	0.008600237905648029	0.008600237905648029	0.008600237905648029	5315.0	5315.0	5315.0
i1_9	0.0098703134245406	0.0098703134245406	0.0098703134245406	5231.0	5231.0	5231.0
i1_10	0.010665481212363478	0.010665481212363478	0.010665481212363478	5240.0	5240.0	5240.0
i1_11	0.011325924128549608	0.011325924128549608	0.011325924128549608	5201.0	5201.0	5201.0
i1_12	0.011605326552002995	0.011605326552002995	0.011605326552002995	5233.0	5233.0	5233.0
i1_13	0.013717544665696513	0.013717544665696513	0.013717544665696513	5088.0	5088.0	5088.0
i1_14	0.013741337835830862	0.013741337835830862	0.013741337835830862	5059.0	5059.0	5059.0
i1_15	0.01568775423551882	0.01568775423551882	0.01568775423551882	5000.0	5000.0	5000.0
i1_16	0.017871255563662484	0.017871255563662484	0.017871255563662484	4945.0	4945.0	4945.0
i1_17	0.01901353149137855	0.01901353149137855	0.01901353149137855	4912.0	4912.0	4912.0
i1_18	0.020038423386121825	0.020038423386121825	0.020038423386121825	4897.0	4897.0	4897.0
i1_19	0.02210664007557721	0.02210664007557721	0.02210664007557721	4881.0	4881.0	4881.0
i1_20	0.024851084204939124	0.024851084204939124	0.024851084204939124	5024.0	5024.0	5024.0
e2_1	0.043333486622327125	0.043333486622327125	0.043333486622327125	5844.0	5844.0	5844.0
