	CG	CHG	CHH	bincount	bincount	bincount
up_1	0.03246897810589568	0.00560656517434134	0.005052005522328828	8927.0	8629.0	10866.0
up_2	0.0311278226894225	0.005229182417803361	0.005145063566679279	8889.0	8642.0	10820.0
up_3	0.029868024271609516	0.005203352936090932	0.0050397890769590765	8837.0	8531.0	10801.0
up_4	0.026806647567008637	0.00482589214969399	0.005043832791635559	8883.0	8484.0	10830.0
up_5	0.022771786324559527	0.00489430450628174	0.004752973593614275	8857.0	8524.0	10826.0
up_6	0.019940731714633154	0.004487420612760143	0.004595575365903033	8881.0	8476.0	10806.0
up_7	0.017619454503372625	0.0046615533537219525	0.004303819793887039	8918.0	8548.0	10788.0
up_8	0.014625475011674147	0.004136398398539289	0.004271792514553587	8929.0	8531.0	10823.0
up_9	0.011297409716128115	0.003940101331135372	0.004097608677529437	8912.0	8450.0	10810.0
up_10	0.00939533611032266	0.0041413142408815665	0.004008716598885197	8901.0	8391.0	10785.0
up_11	0.00822704925352366	0.0037442213054519552	0.0040591357307699204	8872.0	8435.0	10845.0
up_12	0.007268860638176559	0.003697262693231254	0.003962570669169898	8982.0	8420.0	10867.0
up_13	0.006627233321061287	0.003774273442677199	0.003919609085436226	8966.0	8468.0	10890.0
up_14	0.006448688822282376	0.0038632090137837357	0.00392404186158386	8984.0	8419.0	10901.0
up_15	0.006227876950279678	0.003732548240488181	0.004015199424170674	9105.0	8568.0	10938.0
up_16	0.005802506221149333	0.0037051436061057677	0.0038610670123693383	9257.0	8615.0	10991.0
up_17	0.005436837265638082	0.0038792396276892773	0.004090092922677242	9304.0	8762.0	11097.0
up_18	0.00528479666033678	0.003680679594605396	0.003914971524122288	9481.0	8956.0	11102.0
up_19	0.00544012916128145	0.0036821330961664166	0.0039346268156912004	9683.0	9162.0	11077.0
up_20	0.005146802808135844	0.003669076834742812	0.004074856659152862	10063.0	9612.0	11246.0
bd_1	0.005408642129369815	0.003778108115420301	0.003911947728266809	12033.0	12030.0	12480.0
bd_2	0.010777298555700003	0.003886014604249414	0.00406163919472837	11927.0	11843.0	12395.0
bd_3	0.021664368605452414	0.004509587095715196	0.004532184503286988	11726.0	11661.0	12349.0
bd_4	0.0309663665627763	0.005041356623865627	0.0049943224925763025	11589.0	11569.0	12301.0
bd_5	0.03752133518284128	0.005496819535163049	0.005215068915800065	11472.0	11528.0	12178.0
bd_6	0.03934349376278495	0.005768394303711957	0.005347992902853412	11470.0	11486.0	12145.0
bd_7	0.04032526811508292	0.005551363282872862	0.005308809935805121	11380.0	11415.0	12122.0
bd_8	0.03844398932098714	0.005571253206027493	0.00531434127103742	11345.0	11401.0	12089.0
bd_9	0.03630288926532684	0.005283847738375068	0.005128512970253538	11399.0	11445.0	12030.0
bd_10	0.03199757484696811	0.005055379628857236	0.0049045732061630196	11390.0	11462.0	12055.0
bd_11	0.027935402914851817	0.004728910037888144	0.00479561249495445	11321.0	11404.0	12060.0
bd_12	0.023737269018418883	0.0046994774400353915	0.0045741799442723784	11352.0	11432.0	12081.0
bd_13	0.020952832738507513	0.004503980321847434	0.004485725151598998	11442.0	11484.0	12076.0
bd_14	0.018261445372342398	0.004309151834683054	0.004362681925430564	11446.0	11482.0	12105.0
bd_15	0.015181263347688262	0.004050267310730991	0.004161193042908056	11462.0	11444.0	12114.0
bd_16	0.013153691859934433	0.004088785916979667	0.004156231442427922	11486.0	11483.0	12203.0
bd_17	0.011519802415237528	0.0039214079593344045	0.004097698733941003	11619.0	11589.0	12299.0
bd_18	0.01013808419409051	0.0038258453877597852	0.004093528845216469	11601.0	11560.0	12340.0
bd_19	0.009416995854886675	0.0038698828371111194	0.004084967447604018	11620.0	11434.0	12329.0
bd_20	0.00868453403008312	0.00394165443692207	0.004035091064981856	11354.0	11300.0	12408.0
dw_1	0.009752885968923482	0.004207475218571369	0.003977830728317856	7940.0	7373.0	11169.0
dw_2	0.009982764318223446	0.0037511115762405493	0.0040405535922388835	8407.0	7787.0	11210.0
dw_3	0.010131699715358137	0.0038104053343659427	0.004152802978731056	8541.0	7971.0	11206.0
dw_4	0.010313289340408998	0.003787777918846367	0.004074482119322245	8789.0	8224.0	11282.0
dw_5	0.01035331506090494	0.004102488864604948	0.004126510202542827	8915.0	8443.0	11325.0
dw_6	0.011038784916876994	0.004169455516406368	0.004040452360018848	9006.0	8552.0	11302.0
dw_7	0.010672235088348704	0.003993940578445107	0.004131781155674017	9178.0	8647.0	11280.0
dw_8	0.011662732396751078	0.004040036526405682	0.0040201424841702655	9286.0	8830.0	11342.0
dw_9	0.01221480419445881	0.004024543145054741	0.004216029729748099	9324.0	8864.0	11251.0
dw_10	0.01254374913828385	0.00416124409144173	0.004153622286751033	9353.0	8821.0	11300.0
dw_11	0.013308582768951614	0.004279159019517004	0.00406771897804594	9332.0	8853.0	11301.0
dw_12	0.013576666308944938	0.004032932145930678	0.004054604883806474	9328.0	8898.0	11288.0
dw_13	0.013824092482905146	0.004178992802315031	0.0042147044422901824	9418.0	8874.0	11260.0
dw_14	0.014410695253469693	0.004092570645812111	0.004262253121179028	9399.0	8977.0	11310.0
dw_15	0.015866746001812697	0.004324225950315735	0.0042253390882967985	9413.0	8954.0	11322.0
dw_16	0.016372214113449458	0.004149125003672873	0.004251361635515517	9399.0	9034.0	11347.0
dw_17	0.016660647641996523	0.004356848960575734	0.004386775150701984	9401.0	8967.0	11323.0
dw_18	0.01751848533876013	0.004597292626566123	0.004327806371278871	9464.0	8979.0	11332.0
dw_19	0.01897152559817475	0.004447693104177527	0.004286502117667041	9471.0	8998.0	11310.0
dw_20	0.02005457909994332	0.004435274188297063	0.004415925423535464	9501.0	9029.0	11291.0
