XM_026971221.1	LOC105288151
XM_011354154.3	LOC105288134
XM_011354161.3	LOC105288138
XM_011354174.2	LOC105288140
XM_026970744.1	LOC113562194
XM_011354181.3	LOC105288142
XM_026968252.1	LOC105288150
XM_011354184.3	LOC105288144
XM_026974529.1	LOC105287009
XM_026974535.1	LOC105287258
XM_026974539.1	LOC105287298
XM_026970669.1	LOC105285568
XM_011349642.3	LOC105285437
XM_011349644.3	LOC105285439
XM_026974544.1	LOC113563206
XM_020033661.2	LOC105285468
XM_020033649.2	LOC105285445
XM_026970897.1	LOC113562127
XM_026971231.1	LOC113562288
XM_026971228.1	LOC113562287
XM_011349657.3	LOC105285447
XM_026970574.1	LOC113562164
XM_011349662.3	LOC105285450
XM_026969055.1	LOC113561806
XM_011349667.3	LOC105285454
XM_011349668.3	LOC105285455
XM_026971500.1	LOC113562328
XM_026972149.1	LOC113562514
XM_026972156.1	LOC113561370
XM_026974579.1	LOC113563220
XM_026972022.1	LOC113562455
XM_026972021.1	LOC113561445
XM_026972027.1	LOC113562456
XM_011349692.3	LOC105285465
XM_026969021.1	LOC113561804
XM_026974586.1	LOC113563226
XM_026974589.1	LOC113563227
XM_020034124.2	LOC105286742
XM_020034111.2	LOC105286748
XM_026972418.1	LOC105286745
XM_011351901.2	LOC105286744
XM_026972431.1	LOC113561379
XM_011351907.2	LOC105286750
XM_011351909.3	LOC105286751
XM_011351910.3	LOC105286752
XM_026972457.1	LOC113562614
XM_011351912.2	LOC105286753
XM_026975213.1	LOC113561443
XM_011351928.3	LOC105286757
XM_026975216.1	LOC113563559
XM_026969899.1	LOC113562013
XM_011351935.3	LOC105286761
XM_026975380.1	LOC113563593
XM_026974590.1	LOC113563228
XM_026972470.1	LOC113562616
XM_026972479.1	LOC105286768
XM_011351949.2	LOC105286767
XM_026972459.1	LOC105286766
XM_020034113.2	LOC109611478
XM_026972502.1	LOC105286769
XM_011351965.3	LOC105286773
XM_026972126.1	LOC105287325
XM_020034095.2	LOC109611476
XM_026971931.1	LOC113562445
XM_011351974.3	LOC105286777
XM_026971948.1	LOC113562446
XM_011351981.3	LOC105286783
XM_026971934.1	LOC113561377
XM_011351984.3	LOC105286785
XM_011351985.3	LOC105286786
XM_026968823.1	LOC105286788
XM_026970687.1	LOC105286792
XM_026970432.1	LOC113562117
XM_026969839.1	LOC113562000
XM_026974600.1	LOC113563233
XM_020031960.1	LOC109611029
XM_026971788.1	LOC113562372
XM_026974743.1	LOC113563303
XM_011340576.3	LOC105280235
XM_011340577.3	LOC105280236
XM_026974425.1	LOC105280242
XM_011340581.3	LOC105280239
XM_011340579.3	LOC105280238
XM_026968295.1	LOC105280243
XM_011340588.3	LOC105280244
XM_011340589.3	LOC105280245
XM_011340594.3	LOC105280246
XM_011340595.2	LOC105280248
XM_011340596.3	LOC105280249
